Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Dhaka,41,Unemployed,High school,Single family,married without children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Satisfied,Both are capable,Dissatisfied,Yes,0
urban,Barisal,22,Employed,Postgraduate,Single family,married without children,1,50000-More,51-75%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are incapable,Fully satisfied,Yes,1
rural,Rangpur,23,Unemployed,High school,Joint family (without in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Both previously divorced,0-1 year,Both involved in adultery,Dissatisfied,Husband is not capable,Partially satisfied,Yes,0
urban,Sylhet,29,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,100%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,1
urban,Dhaka,43,Employed,Graduate,Joint family (with in-laws),married without children,0,15001-25000,31-50%,Between 2nd to 6th month of marriage,Mental,Verbal,In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,29,Unemployed,High school,Single family,married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Satisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Rangpur,30,Employed,High school,Single family,married with children,0,25001-50000,1-10%,After 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Both involved in adultery,Satisfied,Both are incapable,Dissatisfied,No,1
rural,Comilla,38,Employed,Graduate,Joint family (without in-laws),married with children,0,50000-More,100%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,1-3 years,Both involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,1
suburban,Khulna,40,Abroad,Graduate,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,No,0
suburban,Mymensingh,21,Employed,High school,Joint family (with in-laws),married with children,1,15001-25000,11-30%,Between 2nd to 6th month of marriage,Mental,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,No,1
